journey_id,train_number,train_name,train_type,priority,journey_date,station_code,station_name,sequence_idx,is_origin,is_destination,sched_arr,act_arr,arr_delay_min,sched_dep,act_dep,dep_delay_min,dwell_sched_min,dwell_act_min,dwell_impact_min,section_id,section_congestion,weather,preceding_conflict_min,recovery_min,distance_from_origin_km,remaining_distance_km,data_source
J_12301_20260801,12301,Howrah - New Delhi Rajdhani Express,Rajdhani,1,2026-08-01,HWH,Howrah Junction,0,True,False,2026-08-01T16:50:00,2026-08-01T16:50:00,0.0,2026-08-01T16:50:00,2026-08-01T16:50:00,0.0,0.0,0.0,0.0,ORIGIN,0.3,Dense Fog,0.0,3.0,0.0,1451.0,Historical Operational Log (NTES Aligned)
J_12301_20260801,12301,Howrah - New Delhi Rajdhani Express,Rajdhani,1,2026-08-01,DHN,Dhanbad Junction,1,False,False,2026-08-01T19:55:00,2026-08-01T20:00:06,5.1,2026-08-01T20:00:00,2026-08-01T20:05:06,5.1,5.0,5.0,0.0,SEC_HWH_DHN,0.74,Dense Fog,0.6,2.8,259.0,1192.0,Historical Operational Log (NTES Aligned)
J_12301_20260801,12301,Howrah - New Delhi Rajdhani Express,Rajdhani,1,2026-08-01,GAYA,Gaya Junction,2,False,False,2026-08-01T22:34:00,2026-08-01T22:34:00,0.0,2026-08-01T22:37:00,2026-08-01T22:37:00,0.0,3.0,3.0,0.0,SEC_DHN_GAYA,0.37,Dense Fog,0.0,1.2,459.0,992.0,Historical Operational Log (NTES Aligned)
J_12301_20260801,12301,Howrah - New Delhi Rajdhani Express,Rajdhani,1,2026-08-01,DDU,Pt. Deen Dayal Upadhyaya Jn,3,False,False,2026-08-02T00:45:00,2026-08-02T00:45:00,0.0,2026-08-02T00:55:00,2026-08-02T00:55:00,0.0,10.0,10.0,0.0,SEC_GAYA_DDU,0.18,Dense Fog,0.0,1.7,664.0,787.0,Historical Operational Log (NTES Aligned)
J_12301_20260801,12301,Howrah - New Delhi Rajdhani Express,Rajdhani,1,2026-08-01,PRYJ,Prayagraj Junction,4,False,False,2026-08-02T02:43:00,2026-08-02T02:43:00,0.0,2026-08-02T02:45:00,2026-08-02T02:45:00,0.0,2.0,2.0,0.0,SEC_DDU_PRYJ,0.71,Dense Fog,2.3,1.1,817.0,634.0,Historical Operational Log (NTES Aligned)
J_12301_20260801,12301,Howrah - New Delhi Rajdhani Express,Rajdhani,1,2026-08-01,CNB,Kanpur Central,5,False,False,2026-08-02T04:50:00,2026-08-02T04:50:00,0.0,2026-08-02T04:55:00,2026-08-02T04:55:00,0.0,5.0,5.0,0.0,SEC_PRYJ_CNB,0.51,Dense Fog,0.0,3.2,1011.0,440.0,Historical Operational Log (NTES Aligned)
J_12301_20260801,12301,Howrah - New Delhi Rajdhani Express,Rajdhani,1,2026-08-01,NDLS,New Delhi,6,False,True,2026-08-02T10:05:00,2026-08-02T10:05:00,0.0,2026-08-02T10:05:00,2026-08-02T10:05:00,0.0,0.0,0.0,0.0,SEC_CNB_NDLS,0.1,Dense Fog,0.0,3.1,1451.0,0.0,Historical Operational Log (NTES Aligned)
J_12302_20260801,12302,New Delhi - Howrah Rajdhani Express,Rajdhani,1,2026-08-01,NDLS,New Delhi,0,True,False,2026-08-01T16:55:00,2026-08-01T16:55:00,0.0,2026-08-01T16:55:00,2026-08-01T16:55:00,0.0,0.0,0.0,0.0,ORIGIN,0.3,Clear,0.0,2.3,0.0,1451.0,Historical Operational Log (NTES Aligned)
J_12302_20260801,12302,New Delhi - Howrah Rajdhani Express,Rajdhani,1,2026-08-01,CNB,Kanpur Central,1,False,False,2026-08-01T21:32:00,2026-08-01T21:32:00,0.0,2026-08-01T21:37:00,2026-08-01T21:37:00,0.0,5.0,5.0,0.0,SEC_NDLS_CNB,0.27,Clear,0.0,3.6,440.0,1011.0,Historical Operational Log (NTES Aligned)
J_12302_20260801,12302,New Delhi - Howrah Rajdhani Express,Rajdhani,1,2026-08-01,PRYJ,Prayagraj Junction,2,False,False,2026-08-01T23:43:00,2026-08-01T23:43:00,0.0,2026-08-01T23:45:00,2026-08-01T23:45:00,0.0,2.0,2.0,0.0,SEC_CNB_PRYJ,0.54,Clear,0.0,2.9,634.0,817.0,Historical Operational Log (NTES Aligned)
J_12302_20260801,12302,New Delhi - Howrah Rajdhani Express,Rajdhani,1,2026-08-01,DDU,Pt. Deen Dayal Upadhyaya Jn,3,False,False,2026-08-02T01:42:00,2026-08-02T01:42:00,0.0,2026-08-02T01:52:00,2026-08-02T01:52:00,0.0,10.0,10.0,0.0,SEC_PRYJ_DDU,0.33,Clear,0.0,1.5,787.0,664.0,Historical Operational Log (NTES Aligned)
